Name,GP,PTS,FG%,3P%,FT%,REB,AST,STL,BLK,TOV,TARGET_5Yrs
Kendall Gill,82,11.0,45.09803921568627,0.0,86.36363636363636,3.2,3.7,1.3,0.5,2.0,1.0
Kelly Tripucka,82,21.6,50.0,33.333333333333336,78.94736842105263,5.4,3.3,1.1,0.2,3.4,1.0
Dee Brown,82,8.7,46.666666666666664,25.0,89.47368421052632,2.2,4.2,1.0,0.2,1.7,1.0
Buck Williams,82,15.5,58.8785046728972,0.0,63.82978723404255,12.3,1.3,1.0,1.0,2.9,1.0
Gary Payton*,82,7.2,45.714285714285715,0.0,66.66666666666667,3.0,6.4,2.0,0.2,2.2,1.0
Rod Higgins,82,10.3,44.705882352941174,40.0,78.125,4.5,2.1,0.8,0.8,1.6,1.0
Xavier McDaniel,82,17.1,48.951048951048946,0.0,68.18181818181817,8.0,2.4,1.2,0.5,3.0,1.0
Joe Barry Carroll,82,18.9,49.01960784313725,0.0,70.37037037037037,9.3,1.4,0.6,1.5,3.0,1.0
Ed Nealy,82,4.4,60.0,0.0,64.28571428571429,5.9,0.8,0.8,0.1,0.6,1.0
Blake Griffin,82,22.5,50.595238095238095,33.333333333333336,63.529411764705884,12.1,3.8,0.8,0.6,2.7,1.0
John Stockton*,82,5.6,46.34146341463415,0.0,70.83333333333334,1.3,5.1,1.3,0.1,1.8,1.0
Kyle Macy,82,8.1,50.76923076923077,16.666666666666668,86.66666666666667,1.6,2.0,0.9,0.1,1.2,1.0
Matt Bonner,82,7.2,53.57142857142858,45.45454545454545,77.77777777777777,3.5,0.6,0.5,0.2,0.5,1.0
Blue Edwards,82,8.9,50.724637681159415,25.0,72.0,3.1,1.8,0.9,0.4,1.9,1.0
Clifford Robinson,82,9.1,39.130434782608695,20.0,54.83870967741935,3.8,0.9,0.7,0.7,1.6,1.0
Wesley Matthews,82,9.4,47.826086956521735,40.0,83.33333333333334,2.3,1.5,0.8,0.2,1.1,1.0
Jon Koncak,82,8.3,50.7936507936508,0.0,61.29032258064516,5.7,0.7,0.5,0.8,1.4,1.0
Michael Brooks,82,14.7,48.387096774193544,0.0,71.7948717948718,5.4,2.5,1.2,0.4,2.0,1.0
Karl-Anthony Towns,82,18.3,53.90070921985816,36.36363636363636,79.41176470588235,10.5,2.0,0.7,1.7,2.2,0.0
Pooh Richardson,82,11.4,46.017699115044245,30.0,61.53846153846153,2.6,6.8,1.6,0.3,1.7,1.0
J.R. Reid,82,11.1,44.44444444444445,0.0,65.71428571428571,8.4,1.2,1.1,0.7,2.1,1.0
Darrell Walker,82,7.9,41.26984126984127,0.0,78.125,2.0,3.5,1.6,0.2,2.4,1.0
Clyde Drexler*,82,7.7,45.588235294117645,0.0,71.42857142857143,2.9,1.9,1.3,0.3,1.5,1.0
David Robinson*,82,24.3,52.83018867924528,0.0,73.52941176470588,12.0,2.0,1.7,3.9,3.1,1.0
Nick Collison,82,5.6,53.48837209302325,0.0,71.42857142857143,4.6,0.4,0.4,0.6,0.8,1.0
Anfernee Hardaway,82,16.0,46.616541353383454,26.086956521739133,75.0,5.4,6.6,2.3,0.6,3.6,1.0
A.C. Green,82,6.4,53.191489361702125,0.0,60.0,4.6,0.7,0.6,0.6,1.2,1.0
Andre Miller,82,11.1,44.565217391304344,16.666666666666668,77.77777777777777,3.4,5.8,1.0,0.2,2.0,1.0
Vin Baker,82,13.5,50.0,0.0,58.0,7.6,2.0,0.7,1.4,2.0,1.0
Mark Jackson,82,13.6,42.74193548387097,26.666666666666668,78.125,4.8,10.6,2.5,0.1,3.1,1.0
Lindsey Hunter,82,10.3,37.61467889908256,32.0,76.47058823529412,2.3,4.8,1.5,0.1,2.2,1.0
Cody Zeller,82,6.0,42.857142857142854,0.0,75.0,4.3,1.1,0.5,0.5,1.1,0.0
Chucky Atkins,82,9.5,42.22222222222222,35.0,75.0,1.5,3.7,0.6,0.0,1.7,1.0
Derek Harper,82,5.7,43.63636363636363,0.0,66.66666666666667,2.1,2.9,1.2,0.3,1.4,1.0
Jerry Eaves,82,9.3,48.57142857142857,0.0,80.0,1.5,2.6,0.6,0.0,1.9,0.0
Carmelo Anthony,82,21.0,42.45810055865922,30.769230769230766,78.125,6.1,2.8,1.2,0.5,3.0,1.0
Landry Fields,82,9.7,49.31506849315068,37.03703703703704,77.77777777777777,6.4,1.9,1.0,0.2,1.3,1.0
Larry Smith,82,9.6,51.388888888888886,0.0,59.45945945945947,12.1,1.1,0.8,0.8,1.8,1.0
Mike Miller,82,11.9,43.689320388349515,40.90909090909091,68.75,4.0,1.7,0.6,0.2,1.2,1.0
Dennis Scott,82,15.7,42.36111111111111,36.58536585365854,76.0,2.9,1.6,0.8,0.3,1.6,1.0
Terrell Brandon,82,7.4,42.465753424657535,0.0,80.0,2.0,3.9,1.0,0.3,1.7,1.0
Chuck Person,82,18.8,46.3855421686747,35.294117647058826,75.0,8.3,3.6,1.1,0.2,2.6,1.0
Michael Jordan*,82,28.2,51.51515151515151,16.666666666666668,84.61538461538461,6.5,5.9,2.4,0.8,3.5,1.0
LaPhonso Ellis,82,14.7,50.42735042735043,0.0,74.35897435897436,9.1,1.8,0.9,1.4,1.9,1.0
Ray Allen,82,13.4,43.24324324324324,38.888888888888886,83.33333333333333,4.0,2.6,0.9,0.1,1.8,1.0
Darnell Valentine,82,6.4,41.81818181818181,0.0,79.16666666666667,1.8,3.3,1.1,0.0,1.6,1.0
Matt Maloney,82,9.4,44.0,41.30434782608696,81.81818181818181,2.0,3.7,1.0,0.0,1.5,1.0
Troy Murphy,82,5.9,42.307692307692314,0.0,78.94736842105263,3.9,0.9,0.4,0.3,1.0,1.0
Charles Barkley*,82,14.0,54.73684210526316,0.0,73.46938775510203,8.6,1.9,1.2,1.0,2.5,1.0
Sam Perkins,82,11.0,46.666666666666664,25.0,80.0,7.4,1.6,0.8,0.8,1.2,1.0
Mitchell Wiggins,82,12.4,44.95412844036698,25.0,74.28571428571429,4.0,2.3,1.3,0.1,1.7,1.0
Ron Harper,82,22.9,45.68527918781726,18.18181818181818,68.1159420289855,4.8,4.8,2.5,1.0,4.2,1.0
Stacey Augmon,82,13.3,49.09090909090909,0.0,66.66666666666667,5.1,2.5,1.5,0.3,2.2,1.0
Larry Johnson,82,19.2,49.01960784313725,33.333333333333336,81.99999999999999,11.0,3.6,1.0,0.6,1.9,1.0
Greg Anthony,82,5.5,37.735849056603776,14.285714285714286,73.6842105263158,1.7,3.8,0.7,0.1,1.2,1.0
Scott Brooks,82,5.2,42.22222222222222,36.8421052631579,87.5,1.1,3.7,0.8,0.0,0.8,1.0
Adam Keefe,82,6.6,50.0,0.0,68.96551724137932,5.3,1.0,0.7,0.2,1.2,1.0
Lee Mayberry,82,5.2,45.652173913043484,38.46153846153846,62.5,1.4,3.3,0.7,0.1,1.0,1.0
Brandon Jennings,82,15.5,37.16216216216216,38.29787234042553,81.81818181818183,3.4,5.7,1.3,0.2,2.4,1.0
Grant Long,82,11.9,48.8095238095238,0.0,74.0,6.7,1.8,1.5,0.6,2.5,1.0
Otis Thorpe,82,12.8,59.52380952380952,0.0,62.22222222222222,6.8,1.4,0.4,0.5,2.3,1.0
Brian Shaw,82,8.6,42.857142857142854,0.0,81.25,4.6,5.8,0.9,0.3,2.3,1.0
Kevin Willis,82,9.3,46.42857142857142,0.0,68.18181818181817,6.4,0.4,0.4,0.6,1.3,1.0
Ben McLemore,82,8.8,37.34939759036144,33.333333333333336,82.3529411764706,2.9,1.0,0.6,0.2,1.2,0.0
Ralph Sampson*,82,21.0,52.095808383233525,0.0,66.0377358490566,11.1,2.0,0.8,2.4,3.6,1.0
John Salley,82,5.3,57.142857142857146,0.0,61.904761904761905,3.6,0.7,0.5,1.5,0.9,1.0
Kevin McHale*,82,10.0,53.086419753086425,0.0,68.42105263157895,4.4,0.7,0.3,1.8,1.3,1.0
Stacey King,82,8.9,50.76923076923077,0.0,72.72727272727273,4.7,1.1,0.5,0.7,1.4,1.0
Mike Dunleavy,82,5.7,39.21568627450981,33.333333333333336,83.33333333333334,2.6,1.3,0.7,0.2,1.1,1.0
Junior Harrington,82,5.1,36.84210526315789,33.333333333333336,64.28571428571429,3.0,3.4,1.0,0.2,1.9,0.0
Clarence Weatherspoon,82,15.6,46.875,0.0,70.0,7.2,1.8,1.0,0.8,2.1,1.0
Antoine Walker,82,17.5,42.42424242424242,31.578947368421055,62.22222222222222,9.0,3.2,1.3,0.7,2.8,1.0
Kyle Singler,82,8.8,43.58974358974359,37.5,80.0,4.0,0.9,0.7,0.5,1.2,1.0
Herb Williams,82,11.5,48.07692307692307,0.0,65.21739130434783,7.4,1.7,0.7,2.2,1.7,1.0
Anthony Avent,82,9.8,42.857142857142854,0.0,66.66666666666666,6.2,1.1,0.7,0.9,1.7,1.0
Jason Thompson,82,11.1,49.425287356321846,0.0,68.57142857142857,7.4,1.1,0.6,0.7,1.8,1.0
Jeff Ruland,82,14.4,56.04395604395604,0.0,76.36363636363636,9.3,1.6,0.5,0.7,2.9,1.0
Randy Foye,82,10.1,44.047619047619044,34.78260869565218,86.95652173913044,2.7,2.8,0.7,0.3,1.9,1.0
O.J. Mayo,82,18.5,44.23076923076923,39.130434782608695,88.23529411764706,3.8,3.2,1.1,0.2,2.8,1.0
Tony Brown,82,6.6,45.614035087719294,0.0,66.66666666666666,3.5,1.9,0.7,0.1,1.4,1.0
Amar'e Stoudemire,82,13.5,47.524752475247524,0.0,66.10169491525423,8.8,1.0,0.8,1.1,2.3,1.0
Damian Lillard,82,19.0,42.675159235668794,37.704918032786885,84.61538461538461,3.1,6.5,0.9,0.2,3.0,1.0
Mario Chalmers,82,10.0,41.97530864197531,36.8421052631579,75.0,2.8,4.9,1.9,0.1,2.0,1.0
Elfrid Payton,82,8.9,43.02325581395349,20.0,53.84615384615385,4.3,6.5,1.7,0.2,2.5,0.0
Russell Westbrook,82,15.3,39.55223880597015,25.0,82.6923076923077,4.9,5.3,1.3,0.2,3.3,1.0
DeJuan Blair,82,7.8,56.666666666666664,0.0,55.00000000000001,6.4,0.8,0.6,0.5,1.4,1.0
Michael Finley,82,15.0,47.89915966386555,30.434782608695656,76.92307692307692,4.6,3.5,1.0,0.4,1.6,1.0
Danny Schayes,82,7.9,48.4375,0.0,73.91304347826087,5.2,1.8,0.6,0.9,1.8,1.0
Brook Lopez,82,13.0,53.398058252427184,0.0,80.76923076923076,8.1,1.0,0.5,1.8,1.8,1.0
Gerald Wilkins,81,12.5,46.95652173913044,33.333333333333336,55.17241379310345,2.6,2.0,0.8,0.1,1.9,1.0
James Posey,81,8.2,42.42424242424243,37.03703703703704,78.94736842105263,3.9,1.8,1.2,0.4,1.2,1.0
Wayman Tisdale,81,14.7,51.61290322580645,0.0,68.96551724137932,7.2,1.0,0.4,0.5,2.3,1.0
Antonio Davis,81,7.7,51.92307692307692,0.0,64.86486486486486,6.2,0.7,0.6,1.0,1.3,1.0
Clark Kellogg,81,20.1,48.0,0.0,74.4186046511628,10.6,2.8,1.7,0.5,2.7,1.0
Dana Barros,81,9.7,40.659340659340664,41.37931034482759,78.57142857142858,1.6,2.5,0.7,0.0,1.5,1.0
Popeye Jones,81,5.8,48.0,0.0,76.92307692307692,7.5,1.2,0.8,0.4,1.2,1.0
Derrick Chievous,81,9.3,43.58974358974359,33.333333333333336,80.0,3.2,1.0,0.6,0.1,1.7,0.0
Charlie Villanueva,81,13.0,46.55172413793104,34.61538461538461,70.0,6.4,1.1,0.7,0.8,1.2,1.0
Elton Brand,81,20.1,48.44720496894409,0.0,68.18181818181819,10.0,1.9,0.8,1.6,2.8,1.0
Shawn Kemp,81,6.5,48.07692307692307,0.0,70.0,4.3,0.3,0.6,0.9,1.3,1.0
Jonny Flynn,81,13.5,41.525423728813564,37.03703703703704,84.84848484848486,2.4,4.4,1.0,0.0,2.9,0.0
Al-Farouq Aminu,81,5.6,40.0,33.333333333333336,73.33333333333334,3.3,0.7,0.7,0.3,1.3,1.0
Eric Bledsoe,81,6.7,41.666666666666664,28.571428571428573,75.0,2.8,3.6,1.1,0.3,2.4,1.0
Mark Eaton,81,4.3,40.90909090909091,0.0,63.63636363636363,5.7,1.4,0.3,3.4,1.7,1.0
Jalen Rose,81,8.2,45.16129032258064,28.571428571428573,72.41379310344828,2.7,4.8,0.8,0.3,2.0,1.0
Karl Malone*,81,14.9,49.6,0.0,48.0,8.9,2.9,1.3,0.5,3.4,1.0
Rod Strickland,81,8.9,47.142857142857146,28.571428571428573,72.41379310344828,2.0,3.9,1.2,0.0,1.8,1.0
B.J. Armstrong,81,5.6,47.916666666666664,0.0,90.0,1.3,2.5,0.6,0.1,1.0,1.0
Wayne Robinson,81,7.9,46.03174603174603,0.0,73.33333333333334,3.6,1.4,0.6,0.3,1.8,0.0
Willie Anderson,81,18.6,49.685534591194966,0.0,77.77777777777777,5.1,4.6,1.9,0.8,3.2,1.0
Nick Anderson,81,11.5,49.46236559139784,0.0,69.69696969696969,3.9,1.5,0.8,0.4,1.7,1.0
Doc Rivers,81,9.3,46.26865671641791,0.0,77.5,2.7,3.9,1.6,0.4,2.1,1.0
Marcus Banks,81,5.9,40.00000000000001,27.27272727272727,75.0,1.6,2.2,1.1,0.2,1.5,1.0
Tom Gugliotta,81,14.7,42.857142857142854,29.411764705882355,62.85714285714287,9.6,3.8,1.6,0.4,2.8,1.0
Danny Ferry,81,8.6,43.0379746835443,30.0,78.94736842105263,3.5,1.8,0.5,0.3,1.5,1.0
Felton Spencer,81,7.1,51.06382978723404,0.0,70.96774193548387,7.9,0.3,0.6,1.5,0.9,1.0
Sean Elliott,81,10.0,47.5,0.0,85.18518518518516,3.7,1.9,0.6,0.2,1.4,1.0
Tom Chambers,81,17.2,52.30769230769231,0.0,61.40350877192982,6.9,1.8,0.7,0.6,2.7,1.0
Shelden Williams,81,5.5,44.44444444444444,0.0,77.77777777777777,5.4,0.5,0.6,0.5,1.2,1.0
Jay Vincent,81,21.4,49.720670391061454,0.0,72.0,7.0,2.2,1.1,0.3,2.4,1.0
Carlos Rogers,81,10.0,53.94736842105263,0.0,75.0,7.5,1.3,0.7,0.6,1.3,1.0
Kevin Love,81,11.1,45.88235294117647,0.0,80.48780487804879,9.1,1.0,0.4,0.6,1.5,1.0
Don Collins,81,11.5,44.00000000000001,0.0,76.47058823529412,3.3,2.3,1.3,0.3,2.1,1.0
Eric Piatkowski,81,7.0,44.642857142857146,37.5,78.57142857142858,1.6,1.0,0.5,0.2,0.8,1.0
Jeff Malone,81,12.1,44.24778761061947,33.333333333333336,85.71428571428571,1.9,1.9,0.3,0.2,1.4,1.0
Mike Woodson,81,4.7,43.47826086956522,0.0,75.0,1.2,0.9,0.4,0.1,0.7,1.0
Thurl Bailey,81,8.5,50.68493150684932,0.0,78.57142857142858,5.7,1.6,0.5,1.5,1.3,1.0
Darwin Cook,81,11.2,46.53465346534654,33.333333333333336,72.72727272727272,2.9,3.7,1.7,0.4,2.2,1.0
Johnny Dawkins,81,10.3,43.617021276595736,33.333333333333336,79.16666666666667,2.1,3.6,0.8,0.0,1.5,1.0
Steve Stipanovich,81,12.0,47.524752475247524,0.0,76.66666666666666,6.9,2.1,0.9,0.8,2.0,1.0
Eric Maynor,81,4.7,42.22222222222222,33.333333333333336,66.66666666666667,1.6,3.3,0.5,0.1,1.1,1.0
Darius Miles,81,9.4,50.0,0.0,51.724137931034484,5.9,1.2,0.6,1.5,1.8,1.0
T.J. McConnell,81,6.1,47.368421052631575,36.36363636363636,60.0,3.1,4.5,1.2,0.1,1.7,0.0
Darrell Griffith,81,20.6,46.07329842931937,16.666666666666668,70.0,3.6,2.4,1.3,0.5,2.9,1.0
Derrick Rose,81,16.8,47.651006711409394,22.22222222222222,77.41935483870968,3.9,6.3,0.8,0.2,2.5,1.0
Michael Beasley,81,13.9,47.45762711864406,40.0,76.66666666666666,5.4,1.0,0.5,0.5,1.5,1.0
Jason Terry,81,8.1,41.89189189189189,31.578947368421055,82.3529411764706,2.0,4.3,1.1,0.1,1.9,1.0
Frank Kaminsky,81,7.5,41.53846153846154,32.0,72.22222222222221,4.1,1.2,0.5,0.5,0.7,0.0
Lamond Murray,81,14.1,40.0,29.629629629629626,75.75757575757576,4.4,1.6,0.9,0.7,2.0,1.0
DeMarcus Cousins,81,14.1,42.74193548387097,0.0,68.0,8.6,2.5,1.1,0.8,3.3,1.0
Nick Van Exel,81,13.6,39.230769230769226,33.333333333333336,79.16666666666667,2.9,5.8,1.1,0.1,1.8,1.0
Harrison Barnes,81,9.2,43.58974358974359,33.333333333333336,78.26086956521739,4.1,1.2,0.6,0.2,1.3,1.0
Sherman Douglas,81,14.3,49.13793103448276,25.0,70.0,2.5,7.6,1.8,0.1,3.0,1.0
Shaquille O'Neal*,81,23.4,55.90062111801242,0.0,59.550561797752806,13.9,1.9,0.7,3.5,3.8,1.0
Horace Grant,81,7.7,49.20634920634921,0.0,63.63636363636363,5.5,1.1,0.6,0.7,1.1,1.0
Bill Laimbeer,81,9.8,50.602409638554214,0.0,73.6842105263158,8.6,2.7,0.7,1.0,1.6,1.0
Christian Laettner,81,18.2,47.32824427480916,0.0,83.82352941176471,8.7,2.8,1.3,1.0,3.4,1.0
Brad Daugherty,80,15.7,53.98230088495575,0.0,70.0,8.1,3.8,0.6,0.8,3.1,1.0
Jeff Hornacek,80,5.3,45.45454545454545,40.0,80.0,2.3,4.5,0.9,0.1,1.9,1.0
Ledell Eackles,80,11.5,43.47826086956522,20.0,79.06976744186046,2.3,1.5,0.5,0.1,1.6,1.0
Vinny Del Negro,80,7.1,47.61904761904762,33.333333333333336,84.61538461538463,2.1,2.6,0.8,0.2,1.0,1.0
Derek Fisher,80,3.9,39.3939393939394,33.333333333333336,66.66666666666667,1.2,1.5,0.5,0.1,0.9,1.0
Brad Sellers,80,8.5,46.05263157894737,0.0,72.72727272727272,4.7,1.3,0.6,0.8,1.1,1.0
Kentavious Caldwell-Pope,80,5.9,39.6551724137931,30.434782608695656,75.0,2.0,0.7,0.9,0.1,0.3,0.0
Ennis Whatley,80,8.4,47.142857142857146,0.0,72.0,2.5,8.3,1.5,0.2,3.4,1.0
Raymond Felton,80,11.9,39.09090909090909,35.294117647058826,71.42857142857143,3.3,5.6,1.3,0.1,2.3,1.0
Hot Rod Williams,80,14.6,48.214285714285715,0.0,74.0,7.9,1.9,0.7,2.1,1.7,1.0
Rod Foster,80,8.3,45.205479452054796,27.27272727272727,78.94736842105263,1.5,2.2,0.7,0.1,1.4,0.0
Jeff Green,80,10.5,42.5531914893617,30.0,73.33333333333334,4.7,1.5,0.6,0.6,2.0,1.0
D'Angelo Russell,80,13.2,40.833333333333336,34.78260869565218,75.0,3.4,3.3,1.2,0.2,2.5,0.0
Tyus Edney,80,10.8,40.86021505376344,38.888888888888886,78.125,2.5,6.1,1.1,0.0,2.4,0.0
Luther Head,80,8.8,40.506329113924046,35.8974358974359,73.33333333333334,3.3,2.7,1.1,0.1,1.5,1.0
Sam Young,80,7.4,45.16129032258064,14.285714285714286,77.27272727272727,2.5,0.7,0.4,0.3,1.2,0.0
Stephen Curry,80,17.5,46.15384615384615,43.75,88.00000000000001,4.5,5.9,1.9,0.2,3.0,1.0
Kevin Durant,80,20.3,42.69005847953216,26.923076923076923,87.50000000000001,4.3,2.4,1.0,0.9,2.9,1.0
Kevin Johnson,80,9.2,45.333333333333336,33.333333333333336,84.61538461538463,2.4,5.5,1.3,0.3,1.8,1.0
Roy Hinson,80,5.5,50.0,0.0,60.0,6.2,0.9,0.4,1.8,1.4,1.0
Deron Williams,80,10.8,41.584158415841586,40.74074074074074,70.58823529411765,2.4,4.5,0.8,0.2,1.8,1.0
Glenn Robinson,80,21.9,45.45454545454545,32.352941176470594,80.64516129032258,6.4,2.5,1.4,0.3,3.9,0.0
Joey Graham,80,6.7,48.07692307692307,36.36363636363636,82.3529411764706,3.1,0.8,0.5,0.2,1.1,1.0
Gene Banks,80,9.6,47.5609756097561,0.0,66.66666666666666,5.1,1.8,0.7,0.2,1.3,1.0
Billy Owens,80,14.3,53.153153153153156,0.0,66.66666666666667,8.0,2.4,1.1,0.8,2.2,1.0
Larry Nance,80,6.6,50.90909090909091,0.0,60.0,3.2,1.0,0.5,0.9,1.3,1.0
Alton Lister,80,4.5,52.77777777777778,0.0,53.333333333333336,4.8,1.1,0.2,1.5,1.6,1.0
Kelvin Ransey,80,15.2,45.51724137931034,0.0,77.77777777777777,2.4,6.9,1.1,0.1,2.9,1.0
Shareef Abdur-Rahim,80,18.7,45.39473684210527,33.333333333333336,73.84615384615384,6.9,2.2,1.0,1.0,2.8,1.0
Stromile Swift,80,4.9,45.238095238095234,0.0,61.111111111111114,3.6,0.4,0.8,1.0,0.8,1.0
Victor Alexander,80,7.4,52.63157894736842,0.0,68.42105263157895,4.2,0.4,0.6,0.8,1.1,1.0
Sam Mitchell,80,12.7,45.19230769230769,0.0,77.27272727272727,5.8,1.1,0.8,0.7,1.2,1.0
Trevor Ariza,80,5.9,44.89795918367347,0.0,68.18181818181817,3.0,1.1,0.9,0.2,0.9,1.0
Marc Iavaroni,80,5.1,45.45454545454545,0.0,71.42857142857143,4.1,1.0,0.4,0.6,1.7,1.0
Elston Turner,80,8.3,43.75,0.0,70.58823529411765,3.8,2.4,0.9,0.0,1.4,1.0
Ed Pinckney,80,8.5,56.14035087719298,0.0,65.625,3.9,1.1,0.9,0.5,1.9,1.0
Greg Monroe,80,9.4,55.07246376811594,0.0,62.06896551724138,7.5,1.3,1.2,0.6,1.0,1.0
Morris Peterson,80,9.3,42.857142857142854,38.095238095238095,72.22222222222221,3.2,1.3,0.8,0.3,1.0,1.0
Brian Grant,80,13.2,51.48514851485149,0.0,64.44444444444444,7.5,1.2,0.6,1.4,2.0,1.0
Chauncey Billups,80,11.2,37.234042553191486,31.707317073170735,84.84848484848486,2.4,3.9,1.3,0.1,2.2,1.0
Joe Kleine,80,5.2,46.51162790697675,0.0,75.0,4.7,0.6,0.3,0.4,1.3,1.0
Danny Fortson,80,10.2,46.05263157894737,0.0,78.57142857142857,5.6,1.0,0.6,0.4,2.0,1.0
Vern Fleming,80,14.1,46.95652173913044,0.0,78.57142857142857,4.0,3.1,1.2,0.1,2.5,1.0
Jay Humphries,80,8.8,44.871794871794876,33.333333333333336,85.71428571428571,2.1,4.4,1.3,0.1,2.1,1.0
Kevin Garnett,80,10.4,48.913043478260875,25.0,68.42105263157895,6.3,1.8,1.1,1.6,1.4,1.0
Josh Childress,80,10.1,47.5,28.571428571428573,82.75862068965517,6.0,1.9,0.9,0.4,1.3,1.0
Ron Mercer,80,15.3,44.75524475524475,0.0,85.71428571428572,3.5,2.2,1.6,0.2,1.6,1.0
Orien Greene,80,3.2,40.625,20.0,66.66666666666667,1.8,1.6,1.0,0.1,1.4,0.0
Gary Neal,80,9.8,45.56962025316456,41.02564102564103,84.61538461538463,2.5,1.2,0.3,0.1,1.0,1.0
Jason Richardson,80,14.4,42.64705882352941,32.25806451612903,69.23076923076923,4.3,3.0,1.3,0.4,2.0,1.0
Victor Oladipo,80,13.8,41.88034188034189,32.142857142857146,77.5,4.1,4.1,1.6,0.5,3.2,0.0
Brevin Knight,80,9.0,44.59459459459459,0.0,80.64516129032258,3.2,8.2,2.5,0.2,2.4,1.0
Chris Smith,80,4.3,44.44444444444444,0.0,80.0,1.2,2.5,0.6,0.2,0.8,0.0
Jamaal Tinsley,80,9.4,37.89473684210526,22.727272727272727,69.56521739130436,3.7,8.1,1.7,0.5,3.4,1.0
Alan Henderson,79,6.4,43.63636363636363,0.0,60.0,4.5,0.6,0.6,0.5,1.1,1.0
Alvin Robertson,79,9.2,50.0,100.0,76.19047619047619,3.4,3.5,1.6,0.3,2.1,1.0
Muggsy Bogues,79,5.0,38.888888888888886,0.0,77.77777777777777,1.7,5.1,1.6,0.0,1.3,1.0
Lionel Simmons,79,18.0,41.81818181818182,0.0,74.54545454545453,8.8,4.0,1.4,1.1,2.9,1.0
Richard Jefferson,79,9.4,45.333333333333336,28.571428571428573,70.58823529411765,3.7,1.8,0.8,0.6,1.4,1.0
Sharone Wright,79,11.4,46.938775510204074,0.0,63.88888888888888,6.0,0.6,0.5,1.3,1.9,0.0
Mark Acres,79,3.6,53.84615384615385,0.0,64.28571428571429,3.4,0.5,0.4,0.3,0.7,1.0
Corey Brewer,79,5.8,37.096774193548384,20.0,78.57142857142858,3.7,1.4,1.0,0.3,1.1,1.0
Robert Horry,79,10.1,47.67441860465116,33.333333333333336,72.0,5.0,2.4,1.0,1.1,2.0,1.0
Frank Johnson,79,10.7,41.74757281553398,20.0,73.07692307692308,1.9,4.8,1.0,0.1,2.0,1.0
Brent Barry,79,10.1,47.36842105263158,43.24324324324324,82.3529411764706,2.1,2.9,1.2,0.3,1.5,1.0
Draymond Green,79,2.9,33.33333333333334,25.0,85.71428571428572,3.3,0.7,0.5,0.3,0.7,1.0
Rudy Macklin,79,7.0,44.26229508196722,0.0,77.27272727272727,3.3,0.6,0.5,0.3,1.4,0.0
Byron Houston,79,5.3,43.90243902439025,0.0,64.0,4.0,0.9,0.6,0.5,1.1,0.0
Rodney McCray,79,10.8,49.411764705882355,0.0,71.87499999999999,5.7,2.2,0.7,0.7,1.5,1.0
Marcus Williams,79,6.8,38.80597014925373,28.57142857142857,81.81818181818181,2.1,3.3,0.4,0.0,1.8,0.0
